Iteration;InternalAgent;OuterAgent;IGGIAgent;FlawedAgent;PiersAgent;VanDenBerghAgent;Mirror
0;1.52;1.82;1.78;0.0;3.15;2.0;0.6
25;3.27;3.46;3.39;0.04;4.86;3.27;3.44
50;3.46;3.47;3.36;0.07;3.99;4.06;3.5
75;3.56;3.74;3.28;0.23;4.42;4.41;3.8
100;3.43;3.88;3.34;0.2;4.65;4.36;3.53
125;3.57;3.89;3.73;0.1;5.06;5.0;3.5
150;3.84;4.0;3.05;0.18;5.32;4.54;3.56
175;4.16;4.12;3.62;0.32;5.17;4.56;4.04
200;3.76;3.78;3.04;0.19;4.73;4.55;3.63
225;3.79;4.14;3.78;0.07;4.9;4.9;4.0
250;3.53;3.95;2.79;0.16;5.21;4.39;4.21
275;3.82;4.08;3.89;0.07;5.17;5.06;4.15
300;3.92;4.17;3.32;0.16;5.29;4.68;3.96
325;3.89;3.88;3.21;0.16;5.9;5.46;4.02
350;3.54;3.89;3.0;0.11;5.76;5.69;4.05
375;3.48;3.92;3.29;0.42;5.37;5.27;4.48
400;4.46;4.48;3.07;0.43;5.64;5.06;4.59
425;4.33;4.71;3.69;0.12;5.59;5.07;4.37
450;3.74;4.55;2.79;0.22;5.74;4.77;4.72
475;3.78;4.49;3.7;0.29;5.74;5.48;4.37
500;3.98;4.54;3.64;0.11;6.19;5.73;4.88
525;3.89;4.57;3.16;0.21;5.59;5.21;4.83
550;4.15;4.62;3.54;0.2;6.13;5.63;4.58
575;4.15;4.64;3.21;0.11;5.95;4.89;4.52
600;4.54;4.67;3.48;0.06;6.09;4.81;4.85
625;4.44;4.94;3.87;0.19;6.13;4.71;4.87
650;3.93;4.54;3.68;0.12;5.53;5.31;4.78
675;4.29;4.69;3.34;0.22;5.62;5.36;4.53
700;4.31;4.66;3.84;0.21;5.62;5.25;4.87
725;3.95;4.35;3.12;0.02;5.79;5.85;5.17
750;4.29;4.46;3.31;0.0;5.66;5.26;4.83
775;4.32;4.01;3.25;0.16;5.83;5.57;4.52
800;4.98;4.82;3.49;0.12;5.95;5.72;5.36
825;4.53;4.49;3.76;0.11;6.39;5.0;5.75
850;4.52;4.66;3.71;0.1;6.81;5.9;6.2
875;4.56;4.39;3.48;0.07;6.62;5.78;6.51
900;4.79;4.32;3.51;0.08;6.71;5.5;6.52
925;4.51;5.0;3.59;0.14;7.03;5.64;7.42
950;4.58;4.62;3.55;0.37;6.49;5.76;8.05
975;4.81;3.96;3.82;0.08;7.02;5.71;8.75
1000;4.77;4.21;3.29;0.12;6.96;5.43;9.06
1025;4.24;4.32;3.31;0.22;6.94;5.35;9.18
1050;4.45;4.6;3.41;0.13;6.52;6.44;9.24
1075;4.82;4.18;3.47;0.29;6.63;5.32;9.57
1100;4.26;3.53;3.16;0.1;6.84;5.76;9.77
1125;4.71;4.14;3.2;0.29;7.01;5.94;9.95
1150;4.24;4.06;3.22;0.22;6.8;5.9;10.8
1175;4.52;4.24;3.03;0.0;6.78;5.46;10.33
1200;4.49;4.22;3.26;0.16;6.15;6.11;10.73
1225;4.58;3.9;2.87;0.2;6.17;5.15;10.41
1250;4.7;4.07;3.59;0.08;6.67;5.97;10.95
1275;4.46;4.14;2.91;0.0;6.74;6.27;10.97
1300;4.57;4.27;2.86;0.31;6.78;5.98;11.21
1325;4.32;3.77;2.47;0.0;6.42;5.74;10.79
1350;4.79;4.02;3.25;0.1;6.49;5.99;11.86
1375;4.51;4.27;3.3;0.13;7.03;6.43;11.45
1400;5.06;4.24;3.3;0.0;7.17;6.69;11.61
1425;4.11;3.99;2.51;0.21;6.73;6.36;11.79
1450;3.95;3.68;2.48;0.08;5.66;5.72;11.37
1475;4.16;3.83;2.98;0.0;7.48;5.94;11.81
1500;4.64;4.08;2.9;0.24;7.01;6.21;11.65
1525;3.3;2.64;2.63;0.12;4.96;4.42;2.58
1550;3.95;3.6;3.41;0.17;6.82;5.63;10.9
1575;3.99;3.47;2.54;0.1;6.5;6.38;11.68
1600;4.45;4.5;3.17;0.37;6.8;6.88;11.91
1625;4.41;3.87;3.0;0.04;7.32;6.83;11.86
1650;5.06;3.89;3.04;0.12;6.84;6.24;12.1
1675;4.18;3.82;3.3;0.2;7.2;6.5;11.9
1700;4.47;3.9;2.65;0.25;6.67;5.96;12.39
1725;4.5;3.87;3.41;0.12;7.08;5.89;12.49
1750;3.96;4.05;2.93;0.08;6.54;5.81;13.04
1775;4.51;3.86;2.34;0.32;7.06;5.6;12.29
1800;4.39;3.5;2.09;0.09;6.64;5.41;12.67
1825;4.31;3.82;2.84;0.0;6.43;5.3;12.3
1850;4.33;4.2;2.7;0.07;5.98;5.34;12.97
1875;4.41;4.12;3.01;0.12;6.89;6.17;13.1
1900;4.29;4.1;2.7;0.0;6.25;5.73;13.47
1925;4.6;3.86;2.68;0.09;6.05;5.49;12.95
1950;4.71;3.62;2.38;0.07;6.94;5.24;12.98
1975;4.58;4.15;2.37;0.12;6.7;5.31;13.27
2000;4.54;3.98;2.7;0.0;7.18;6.39;12.96
2025;4.3;4.24;3.14;0.11;7.05;5.92;12.76
2050;4.14;4.11;2.49;0.12;7.18;6.12;12.84
2075;3.71;3.59;2.27;0.15;7.22;5.74;13.12
2100;4.7;3.94;2.17;0.07;7.1;6.78;13.52
2125;4.15;3.65;2.75;0.14;6.77;6.48;13.23
2150;4.53;3.76;2.23;0.04;7.12;6.89;13.59
2175;4.5;4.03;2.87;0.0;7.65;6.77;14.09
2200;4.57;4.87;3.17;0.09;7.87;6.08;14.08
2225;4.97;5.05;3.08;0.03;7.94;6.83;14.19
2250;4.39;4.54;3.08;0.0;7.65;6.81;14.08
